run	rep	trueqtl	NotSig	Sig	analysis	TBV_PVE	RAND_PVE
1	rep1	FALSE	44415	0	random	0.796044	0.905534
1	rep1	TRUE	911	0	random	0.796044	0.905534
1	rep10	FALSE	44821	0	random	0.79706	0.90623
1	rep10	TRUE	928	0	random	0.79706	0.90623
1	rep2	FALSE	45009	0	random	0.79824	0.912082
1	rep2	TRUE	924	0	random	0.79824	0.912082
1	rep3	FALSE	44255	2	random	0.792465	0.914588
1	rep3	TRUE	900	0	random	0.792465	0.914588
1	rep4	FALSE	44066	1	random	0.796082	0.921685
1	rep4	TRUE	881	0	random	0.796082	0.921685
1	rep5	FALSE	44857	0	random	0.776848	0.915727
1	rep5	TRUE	915	0	random	0.776848	0.915727
1	rep6	FALSE	44834	0	random	0.792912	0.918442
1	rep6	TRUE	914	0	random	0.792912	0.918442
1	rep7	FALSE	44358	0	random	0.783708	0.919283
1	rep7	TRUE	899	0	random	0.783708	0.919283
1	rep8	FALSE	44310	1	random	0.791733	0.912335
1	rep8	TRUE	904	0	random	0.791733	0.912335
1	rep9	FALSE	44875	0	random	0.787285	0.912937
1	rep9	TRUE	905	0	random	0.787285	0.912937
2	rep1	FALSE	45029	0	random	0.790648	0.91082
2	rep1	TRUE	441	0	random	0.790648	0.91082
2	rep10	FALSE	44974	0	random	0.799134	0.906536
2	rep10	TRUE	464	0	random	0.799134	0.906536
2	rep2	FALSE	45351	0	random	0.800688	0.911228
2	rep2	TRUE	452	0	random	0.800688	0.911228
2	rep3	FALSE	44931	0	random	0.796336	0.912959
2	rep3	TRUE	464	0	random	0.796336	0.912959
2	rep4	FALSE	45002	0	random	0.805627	0.911604
2	rep4	TRUE	449	0	random	0.805627	0.911604
2	rep5	FALSE	45434	0	random	0.790612	0.90938
2	rep5	TRUE	455	0	random	0.790612	0.90938
2	rep6	FALSE	45124	0	random	0.804902	0.913538
2	rep6	TRUE	458	0	random	0.804902	0.913538
2	rep7	FALSE	44812	0	random	0.803574	0.918236
2	rep7	TRUE	438	0	random	0.803574	0.918236
2	rep8	FALSE	44446	0	random	0.803226	0.914435
2	rep8	TRUE	452	0	random	0.803226	0.914435
2	rep9	FALSE	45291	0	random	0.790928	0.920354
2	rep9	TRUE	470	0	random	0.790928	0.920354
3	rep1	FALSE	45367	0	random	0.819756	0.915112
3	rep1	TRUE	181	0	random	0.819756	0.915112
3	rep10	FALSE	45317	0	random	0.807188	0.911066
3	rep10	TRUE	184	0	random	0.807188	0.911066
3	rep2	FALSE	45069	0	random	0.826569	0.91563
3	rep2	TRUE	176	0	random	0.826569	0.91563
3	rep3	FALSE	44986	0	random	0.802641	0.908174
3	rep3	TRUE	179	0	random	0.802641	0.908174
3	rep4	FALSE	44774	0	random	0.813639	0.918086
3	rep4	TRUE	186	0	random	0.813639	0.918086
3	rep5	FALSE	45431	0	random	0.825813	0.914771
3	rep5	TRUE	184	0	random	0.825813	0.914771
3	rep6	FALSE	45430	0	random	0.825977	0.914076
3	rep6	TRUE	183	0	random	0.825977	0.914076
3	rep7	FALSE	45398	0	random	0.817546	0.910928
3	rep7	TRUE	188	0	random	0.817546	0.910928
3	rep8	FALSE	44981	0	random	0.829393	0.909183
3	rep8	TRUE	175	0	random	0.829393	0.909183
3	rep9	FALSE	45065	1	random	0.815744	0.917095
3	rep9	TRUE	183	0	random	0.815744	0.917095
4	rep1	FALSE	44577	0	random	0.801819	0.924185
4	rep1	TRUE	928	0	random	0.801819	0.924185
4	rep10	FALSE	44766	0	random	0.815572	0.915591
4	rep10	TRUE	910	0	random	0.815572	0.915591
4	rep2	FALSE	45140	0	random	0.813327	0.916689
4	rep2	TRUE	913	0	random	0.813327	0.916689
4	rep3	FALSE	44058	1	random	0.797471	0.924358
4	rep3	TRUE	899	0	random	0.797471	0.924358
4	rep4	FALSE	43777	0	random	0.815141	0.922369
4	rep4	TRUE	887	0	random	0.815141	0.922369
4	rep5	FALSE	44783	0	random	0.808074	0.92113
4	rep5	TRUE	898	0	random	0.808074	0.92113
4	rep6	FALSE	44870	0	random	0.797339	0.923973
4	rep6	TRUE	907	0	random	0.797339	0.923973
4	rep7	FALSE	44359	0	random	0.800726	0.914617
4	rep7	TRUE	908	0	random	0.800726	0.914617
4	rep8	FALSE	44522	0	random	0.805172	0.914935
4	rep8	TRUE	906	0	random	0.805172	0.914935
4	rep9	FALSE	44966	0	random	0.817346	0.918012
4	rep9	TRUE	912	0	random	0.817346	0.918012
5	rep1	FALSE	44958	0	random	0.799725	0.921673
5	rep1	TRUE	447	0	random	0.799725	0.921673
